2025-05-27 14:12:16 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-27 14:12:20 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 24.48 hours old.
2025-05-27 15:12:25 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-27 15:12:27 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 25.49 hours old.
2025-05-27 16:12:32 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-27 16:12:36 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 26.49 hours old.
2025-05-27 17:12:42 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-27 17:12:47 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 27.49 hours old.
2025-05-27 17:13:09 | DAILY_SUMMARY | SENT | Daily summary report for 2025-05-27
2025-05-27 18:13:15 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-27 18:13:19 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 28.50 hours old.
2025-05-27 19:13:28 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-27 19:13:34 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 29.50 hours old.
2025-05-27 20:13:40 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-27 20:13:43 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 30.51 hours old.
2025-05-27 21:13:50 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-27 21:13:54 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 31.51 hours old.
2025-05-27 22:14:00 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-27 22:14:04 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 32.51 hours old.
2025-05-27 23:14:10 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-27 23:14:13 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 33.51 hours old.
2025-05-28 00:14:19 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-28 00:14:22 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 34.52 hours old.
2025-05-28 01:14:27 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-28 01:14:30 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 35.52 hours old.
2025-05-28 02:14:35 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-28 02:14:37 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 36.52 hours old.
2025-05-28 03:14:41 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-28 03:14:44 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 37.52 hours old.
2025-05-28 04:14:48 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-28 04:14:51 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 38.53 hours old.
2025-05-28 05:14:55 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-28 05:14:59 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 39.53 hours old.
2025-05-28 06:15:04 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-28 06:15:06 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 40.53 hours old.
2025-05-28 07:15:10 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-28 07:15:13 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 41.53 hours old.
2025-05-28 08:15:17 | HIGH_TEMP | SENT | HIGH TEMPERATURE ALERT: Plant station recorded 54.5°C at 2025-05-26 19:39:51.011856
2025-05-28 08:15:19 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 42.53 hours old.
2025-05-28 11:15:28 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 1.64 hours old.
2025-05-28 12:15:32 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 2.64 hours old.
2025-05-28 13:15:40 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 3.64 hours old.
2025-05-28 13:16:16 | DAILY_SUMMARY | SENT | Daily summary report for 2025-05-28
2025-05-28 14:16:21 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 4.66 hours old.
2025-05-28 15:16:27 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 5.66 hours old.
2025-05-28 16:16:31 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 6.66 hours old.
2025-05-28 17:16:38 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 7.66 hours old.
2025-05-28 18:16:43 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 8.66 hours old.
2025-05-28 19:16:52 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 9.66 hours old.
2025-05-28 20:17:20 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 10.67 hours old.
2025-05-28 21:17:27 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 11.67 hours old.
2025-05-28 22:17:34 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 12.67 hours old.
2025-05-28 23:17:40 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 13.68 hours old.
2025-05-29 00:17:45 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 14.68 hours old.
2025-05-29 01:17:51 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 15.68 hours old.
2025-05-29 02:17:56 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 16.68 hours old.
2025-05-29 03:18:01 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 17.68 hours old.
2025-05-29 04:18:07 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 18.68 hours old.
2025-05-29 05:18:14 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 19.69 hours old.
2025-05-29 06:18:18 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 20.69 hours old.
2025-05-29 06:18:39 | DAILY_SUMMARY | SENT | Daily summary report for 2025-05-29
2025-05-29 07:18:43 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 21.70 hours old.
2025-05-29 08:18:48 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 22.70 hours old.
2025-05-29 09:18:53 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 23.70 hours old.
2025-05-29 10:18:59 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 24.70 hours old.
2025-05-29 11:19:04 | PLANT_DATA_AGE | SENT | PLANT DATA AGE ALERT: Plant station data file is 25.70 hours old.
